rowType,sessionId,timestamp,challengeId,challengeType,skill,eventName,attemptNumber,feedbackType,scaffoldLevel,relatedField,split,firstTryCorrect,independentSuccess,finalSuccess,attemptCount,hintCount,highestScaffoldLevel,selfCorrected,selectedSplitStrategy,subfactAccuracy,completionTimeMs,selectedSplit,partial1Attempts,partial2Attempts,partial1Outcome,partial2Outcome,supportUsed,supportType,supportOpened,supportCompleted,attentionCueShown,cueType,splitCueShown,addOneCueShown,plusDotCueShown,payload
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:14.785Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":0,""groups"":[3,0,0,0,0],""remaining"":12}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:15.050Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[3,1,0,0,0],""remaining"":11}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:15.317Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[3,2,0,0,0],""remaining"":10}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:15.592Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[3,3,0,0,0],""remaining"":9}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:15.858Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[3,3,1,0,0],""remaining"":8}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:16.125Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[3,3,2,0,0],""remaining"":7}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:16.402Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[3,3,3,0,0],""remaining"":6}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:16.676Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":3,""groups"":[3,3,3,1,0],""remaining"":5}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:16.949Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":3,""groups"":[3,3,3,2,0],""remaining"":4}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:17.225Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":3,""groups"":[3,3,3,3,0],""remaining"":3}"
